Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,JP Sales Text,NA Sales,Other Sales,User Count,User Score
Sports,Wii Sports,Wii,Nintendo,E,2006,51,76,28.96,82.54,3.77,$4 Million,41.36,8.45,324,8
Platform,Super Mario Bros.,NES,Nintendo,,1985,,,3.58,40.24,6.81,$7 Million,29.08,0.77,,
Racing,Mario Kart Wii,Wii,Nintendo,E,2008,73,82,12.8,35.57,3.79,$4 Million,15.68,3.29,712,8.3
Sports,Wii Sports Resort,Wii,Nintendo,E,2009,73,80,10.95,32.78,3.28,$3 Million,15.61,2.95,193,8
Role-Playing,Pokemon Red/Pokemon Blue,G,Nintendo,,1996,,,8.89,31.37,10.22,$10 Million,11.27,1,,
Puzzle,Tetris,G,Nintendo,,1989,,,2.26,30.26,4.22,$4 Million,23.2,0.58,,
Platform,New Super Mario Bros.,DS,Nintendo,E,2006,65,89,9.15,29.81,6.5,$7 Million,11.28,2.88,433,8.5
Misc,Wii Play,Wii,Nintendo,E,2006,41,58,9.18,28.92,2.93,$3 Million,13.96,2.84,129,6.6
Platform,New Super Mario Bros. Wii,Wii,Nintendo,E,2009,80,87,6.95,28.38,4.7,$5 Million,14.48,2.25,595,8.4
Shooter,Duck Hunt,NES,Nintendo,,1984,,,0.63,28.31,0.28,$0 Million,26.93,0.47,,
Simulation,Nintendogs,DS,Nintendo,,2005,,,10.95,24.67,1.93,$2 Million,9.05,2.74,,
Racing,Mario Kart DS,DS,Nintendo,E,2005,64,91,7.48,23.22,4.13,$4 Million,9.71,1.9,465,8.6
Role-Playing,Pokemon Gold/Pokemon Silver,G,Nintendo,,1999,,,6.18,23.1,7.2,$7 Million,9,0.71,,
Sports,Wii Fit,Wii,Nintendo,E,2007,63,80,8.03,22.7,3.6,$4 Million,8.92,2.15,146,7.7
Misc,Kinect Adventures!,X360,Microsoft Game Studios,E,2010,45,61,4.91,21.86,0.24,$0 Million,15.02,1.69,106,6.3
Sports,Wii Fit Plus,Wii,Nintendo,E,2009,33,80,8.49,21.79,2.53,$3 Million,9.01,1.77,52,7.4
Action,Grand Theft Auto V,PS3,Take-Two Interactive,M,2013,50,97,9.14,21.12,0.98,$1 Million,7.02,3.97,4009,8.2
Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,M,2004,80,95,0.4,20.81,0.41,$0 Million,9.43,10.57,1606,9
Platform,Super Mario World,SNES,Nintendo,,1990,,,3.75,20.61,3.54,$4 Million,12.78,0.55,,
Misc,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,E,2005,58,77,9.2,20.15,4.16,$4 Million,4.74,2.04,50,7.9
Role-Playing,Pokemon Diamond/Pokemon Pearl,DS,Nintendo,,2006,,,4.46,18.25,6.04,$6 Million,6.38,1.36,,
